BLOCKSIZE;CPU_TIME;GPU_CALCULATION;GPU_TOTAL
1;73.586769;12.431904;18.114431
2;74.958054;6.312736;11.965440
3;73.073257;4.112576;10.016960
4;75.295387;2.968160;8.880128
5;72.611450;2.234336;8.376768
6;68.773003;1.816448;7.721504
7;68.492195;1.535648;6.998528
8;72.330940;1.333408;7.062528
9;68.886353;1.182144;6.754528
10;71.425369;1.065952;6.527072
11;68.723701;0.972096;6.750208
12;67.890289;0.889408;6.777856
13;68.294968;0.823456;6.277600
14;69.386642;0.767296;6.524928
15;68.507828;0.712704;6.328672
16;68.209579;0.669472;6.300672
17;68.128708;0.754400;5.986304
18;68.564957;0.596992;5.949728
19;67.809410;0.568192;6.351872
20;68.367126;0.536256;5.937152
21;67.797386;0.512032;5.984256
22;68.298271;0.489312;6.155808
23;68.208977;0.466720;6.090752
24;67.843086;0.448096;5.803040
25;68.867409;0.431456;5.812224
26;68.065567;0.415040;6.030336
27;69.004509;0.401856;5.935552
28;67.864433;0.528384;6.066176
29;67.918549;0.374432;6.023168
30;68.500610;0.360512;6.250560
31;67.924858;0.350496;5.873056
32;69.740807;0.337696;5.930112
33;68.491295;0.380896;5.872960
34;68.682808;0.369984;5.708064
35;69.711044;0.358624;5.877120
36;68.785934;0.349632;5.639168
37;69.593491;0.340320;5.822784
38;67.911331;0.338016;6.153216
39;69.175583;0.332800;5.934464
40;68.194244;0.317952;5.886112
41;67.864433;0.312064;5.865792
42;68.443787;0.305376;6.444032
43;67.798584;0.298208;5.740544
44;71.244080;0.293888;6.126624
45;68.085709;0.288736;5.761568
46;68.362915;0.281600;5.903584
47;67.828049;0.275776;5.576704
48;67.851807;0.271072;5.795936
49;71.817726;0.267616;5.736448
50;67.837975;0.265536;5.867616
51;68.343369;0.260064;5.775360
52;68.117279;0.253920;6.180928
53;69.249840;0.250688;6.050912
54;69.242325;0.250144;5.698560
55;67.955826;0.242560;5.580032
56;68.730316;0.238208;5.814304
57;67.877663;0.236288;5.658624
58;70.314156;0.231936;5.806432
59;67.888481;0.230400;5.666816
60;67.844284;0.225568;5.691392
61;72.972839;0.223936;5.734400
62;67.838875;0.220352;5.925120
63;68.543304;0.220064;5.695488
64;67.869240;0.357376;5.925216
65;67.983788;0.446464;5.856256
66;69.024048;0.295392;6.441984
67;67.840981;0.291840;5.817344
68;68.372833;0.286944;5.671936
69;67.838272;0.283648;5.642240
70;69.035774;0.279584;5.694752
71;67.931778;0.277408;6.007104
72;67.789268;0.272064;5.680672
73;84.085892;0.269472;5.783552
74;68.041817;0.265632;6.000640
75;68.381554;0.262144;5.564960
76;67.990105;0.259648;5.580160
77;67.884277;0.255808;5.956608
78;67.923660;0.252800;6.606848
79;67.905022;0.414720;5.996064
80;68.547813;0.248832;5.951488
81;68.823814;0.245888;5.916000
82;68.151558;0.243680;5.486592
83;67.885780;0.240416;5.803072
84;68.847267;0.237568;5.831136
85;68.997894;0.236448;5.741696
86;67.834061;0.235136;5.776448
87;68.779320;0.233088;5.479424
88;68.182220;0.227488;5.646336
89;69.258263;0.227552;5.739520
90;69.393852;0.225568;6.387712
91;67.831963;0.224960;5.833728
92;68.681305;0.222336;5.938176
93;68.424850;0.450976;6.013408
94;68.374641;0.219584;5.885952
95;67.843086;0.220128;6.223872
96;68.129303;0.205824;5.800960
97;68.404404;0.272576;5.613568
98;67.852707;0.270208;5.479424
99;69.211357;0.265984;5.659744
100;67.823242;0.265632;5.616896
101;68.578781;0.263520;5.746176
102;70.069427;0.261760;6.280192
103;67.883369;0.257792;5.627904
104;69.192719;0.252640;5.738528
105;67.802795;0.252320;5.680128
106;68.079094;0.250240;5.928960
107;68.244156;0.246144;6.293504
108;70.071228;0.245408;5.832064
109;70.981308;0.243712;5.826880
110;67.944107;0.241824;5.509120
111;68.983765;0.239936;5.658624
112;68.186729;0.238336;5.647616
113;68.045120;0.236896;5.549568
114;68.691528;0.238240;6.372416
115;67.937790;0.234528;5.615616
116;69.369804;0.233120;5.882880
117;67.917046;0.229536;5.797056
118;68.365318;0.228320;5.601760
119;67.838272;0.227200;5.994496
120;68.356003;0.225280;5.631136
121;69.143410;0.226304;5.878784
