BLOCKSIZE;CPU_TIME;GPU_CALCULATION;GPU_TOTAL
1;22.970778;4.451177;6.720387
2;25.324984;2.120518;4.836381
3;24.419987;1.238445;3.351424
4;23.610897;1.183680;4.063303
5;24.921146;0.922310;3.513866
6;22.862812;0.686768;2.976781
7;23.834133;0.621059;3.033379
8;22.424728;0.480922;2.566349
9;24.451527;0.386701;2.825344
10;23.078650;0.348157;2.401155
11;22.257593;0.316944;2.398707
12;22.099119;0.305795;2.384080
13;22.336971;0.269251;2.183734
14;22.348965;0.264678;2.214544
15;22.503710;0.327571;2.523319
16;22.171970;0.219146;2.287811
17;22.072575;0.206989;2.286848
18;22.165174;0.196973;2.537443
19;22.523975;0.207971;2.462473
20;22.288864;0.176755;2.257741
21;22.321724;0.170166;2.328135
22;22.340727;0.161219;2.372669
23;22.125912;0.154570;2.218982
24;22.295900;0.149331;2.095767
25;22.239557;0.142925;2.094586
26;22.102612;0.137571;2.139946
27;22.232853;0.134470;2.265942
28;22.131802;0.129158;2.238922
29;23.415026;0.124221;2.258368
30;22.433359;0.121104;2.218624
31;22.215984;0.117501;2.340989
32;22.442318;0.114112;2.163216
33;22.508493;0.131034;2.312839
34;22.244907;0.128416;2.391945
35;22.302784;0.125968;2.330038
36;22.365892;0.121882;2.258868
37;22.112291;0.120189;2.288259
38;22.438049;0.116003;2.239113
39;22.469707;0.114099;2.169597
40;22.188475;0.112122;2.609283
41;22.239256;0.107923;2.037379
42;22.213699;0.106717;2.380455
43;22.358105;0.104278;2.095303
44;22.588884;0.102464;2.052262
45;22.440184;0.100198;2.290851
46;22.308586;0.098733;2.164720
47;22.263760;0.096707;2.376554
48;22.337029;0.094906;2.063235
49;23.425335;0.093750;2.139200
50;22.356209;0.091325;2.206871
51;22.259579;0.090909;2.299702
52;22.686148;0.088336;2.203619
53;22.110786;0.087590;2.228656
54;22.667837;0.086378;2.211696
55;22.220287;0.084646;2.015142
56;22.094221;0.082339;2.266467
57;22.304407;0.082400;2.124896
58;22.118694;0.080394;2.394298
59;22.680014;0.079043;2.218950
60;22.029160;0.078374;2.043875
61;22.166376;0.077866;2.122803
62;22.419706;0.077091;2.262083
63;22.300138;0.075994;2.046557
64;22.234837;0.075098;2.058506
65;22.599077;0.104170;2.163923
66;22.352152;0.102918;2.372224
67;22.539036;0.100752;2.177306
68;22.351068;0.099424;2.280403
69;22.982862;0.098998;2.142323
70;22.192204;0.097632;2.021206
71;22.347370;0.096714;2.151561
72;22.584795;0.093715;2.135584
73;22.228582;0.093642;2.299712
74;22.495052;0.093280;2.144413
75;22.245871;0.090819;2.170007
76;22.331347;0.090064;2.284950
77;22.143917;0.088333;2.080183
78;22.415501;0.087565;2.148941
79;22.442829;0.086643;2.171523
80;22.075159;0.085840;2.194422
81;22.290457;0.085338;2.063248
82;22.133846;0.083994;2.103619
83;22.195091;0.084227;2.044416
84;22.857548;0.082717;2.171024
85;22.094492;0.081805;2.302755
86;22.283331;0.081370;2.129811
87;22.392166;0.080394;2.218845
88;22.155582;0.078326;2.068614
89;22.862362;0.079696;2.120006
90;22.260000;0.078419;2.013433
91;22.300709;0.077075;2.053363
92;22.266285;0.077654;2.343002
93;22.277378;0.076800;2.121450
94;22.434019;0.075888;2.026832
95;22.258978;0.076746;2.225075
96;22.405998;0.074966;2.300486
97;22.342138;0.094848;2.227731
98;22.381706;0.094339;2.276509
99;22.637531;0.093600;2.202611
100;22.116589;0.091286;2.055069
101;22.622349;0.090906;2.214950
102;22.265083;0.089914;2.192106
103;24.458530;0.090333;2.289094
104;23.523769;0.088256;2.277770
105;22.612907;0.089232;2.143792
106;22.950212;0.086717;2.316704
107;22.261234;0.086413;2.100288
108;22.582180;0.084966;2.252358
109;22.154293;0.085638;2.221002
