BLOCKSIZE;CPU_TIME;GPU_CALCULATION;GPU_TOTAL
1;292.099396;53.773602;75.931549
2;297.957336;25.646303;46.942207
3;298.939270;16.374592;38.342655
4;287.219177;12.042144;34.364414
5;287.566742;9.478752;32.441345
6;313.208588;8.100864;32.491615
7;287.746521;6.510240;28.147713
8;289.665314;5.660672;27.541504
9;287.228210;5.111296;27.328512
10;288.696899;4.488288;25.879841
11;288.689697;4.081568;25.136127
12;292.086761;3.742368;26.909697
13;286.978058;3.452672;25.690592
14;289.350525;3.208448;24.505535
15;287.506897;2.990816;24.589697
16;287.722778;2.807104;25.000959
17;290.189636;2.642304;24.677376
18;290.738647;2.495776;25.676800
19;288.611206;2.361216;24.575071
20;289.179138;2.370592;25.593952
21;287.483765;2.139296;24.135040
22;294.909302;2.044896;23.972864
23;289.472595;1.956736;23.766016
24;292.512207;1.873952;24.785313
25;293.980896;1.800032;24.833183
26;290.818604;1.729312;23.316929
27;289.022217;1.670112;23.008257
28;289.224854;1.612704;23.912449
29;286.896271;1.551616;23.683424
30;294.865723;1.498912;23.095297
31;289.696259;1.452032;23.339487
32;290.200470;1.413280;23.574528
33;289.501434;1.564000;24.828928
34;290.456909;1.524672;24.535393
35;288.015320;1.481728;23.062529
36;288.398651;1.436000;24.079359
37;291.103638;1.395776;23.099392
38;302.843262;1.372128;22.426624
39;287.471130;1.341696;22.979584
40;288.251617;1.679680;23.017729
41;288.102509;1.272512;22.656000
42;300.391418;1.246048;22.612097
43;287.729095;1.218080;22.563841
44;287.285034;1.191232;23.942144
45;289.957245;1.167552;22.583712
46;291.281006;1.144288;22.806561
47;291.115967;1.120608;24.319136
48;288.882111;1.099360;22.963488
49;289.384796;1.080640;22.375423
50;293.156494;1.065984;24.133633
51;286.971741;1.210336;23.961599
52;290.959320;1.024960;24.943071
53;292.103607;1.012672;22.474815
54;289.339386;0.994272;22.608065
55;288.075745;1.209344;24.727552
56;289.125946;0.965248;22.692863
57;288.971710;0.949216;22.466560
58;292.919586;0.936000;22.547457
59;293.204895;0.921824;23.533567
60;289.576324;0.907936;22.305183
61;288.276886;0.898400;22.488224
62;288.989441;0.885376;22.393280
63;288.058899;0.870528;23.803904
64;288.775970;0.862880;22.555008
65;297.210510;1.206688;22.399200
66;292.689880;1.187712;24.572927
67;289.112701;1.172896;23.594496
68;287.968719;1.160512;22.776833
69;288.936829;1.146912;22.238209
70;292.311371;1.130816;22.703264
71;288.453979;1.113504;23.683071
72;289.782257;1.096928;23.562241
73;289.142181;1.083392;22.067488
74;299.018646;1.071360;22.729120
75;290.397705;1.056288;23.482368
76;288.224579;1.046304;22.587393
77;289.540222;1.035264;22.346945
78;303.172455;1.018016;22.906879
79;291.809875;1.006592;25.445408
80;290.577179;0.999552;22.634945
81;287.881836;0.996352;22.780928
82;288.978912;0.976608;23.666689
83;288.629242;0.965920;23.852415
84;289.030914;0.956672;23.247871
85;287.541779;0.950272;22.004768
86;294.133331;0.941472;22.176832
87;291.978821;0.933600;26.853632
88;287.813263;0.922848;22.226944
89;297.331360;0.916448;22.344160
90;306.013947;0.905280;22.456575
91;286.987671;0.904192;23.954432
92;288.003296;0.894784;22.236160
93;290.046234;0.885696;22.557024
94;291.006226;0.877248;23.832577
95;287.222198;0.869152;23.972864
96;289.815643;1.176576;23.841057
97;287.867096;1.088992;22.410496
98;287.199341;1.080736;22.513664
99;290.622894;1.068096;26.993696
100;289.786774;1.058816;24.143871
101;291.084991;1.054720;23.932417
102;288.745911;1.044736;23.691328
103;287.641907;1.029920;26.599424
104;288.284088;1.023872;22.590464
105;288.137085;1.011232;22.352127
106;289.572693;1.002784;22.341024
107;289.122314;0.999968;22.327295
108;291.964691;0.991328;22.657152
109;289.774445;0.976160;22.898880
110;291.395569;0.975360;23.674879
111;288.281097;0.968480;22.457344
112;288.284393;0.961024;22.741152
113;292.300842;0.951520;24.004608
114;292.410583;0.943584;23.724480
115;290.564270;0.939552;22.517759
116;288.068542;0.929792;22.131201
117;288.035156;0.925088;22.708223
118;298.908295;0.915648;24.764416
119;300.158417;0.911168;22.942047
120;288.212250;0.907264;22.371328
121;288.995758;0.898240;22.045696
122;295.470337;0.896768;23.178400
123;287.932343;0.886784;22.750208
124;292.776154;0.880832;22.586369
125;287.825897;0.879680;22.113279
126;299.438660;1.030304;23.413120
127;290.090424;0.864064;23.902208
128;289.404633;0.865120;22.188255
129;289.433197;1.051200;23.062529
130;288.589264;1.042720;23.933184
131;289.172241;1.031680;22.512960
132;288.760040;1.020256;22.664673
133;291.158051;1.021952;24.146015
134;291.544403;1.011008;22.979584
135;289.616608;1.005504;22.727680
136;292.521210;1.002400;23.906464
137;287.924530;0.996672;22.444448
138;298.668671;0.990048;22.927649
139;293.703369;0.981024;22.586752
140;287.032471;0.976960;22.560831
141;288.425995;0.971648;23.280928
142;310.774506;0.960480;23.026913
143;291.639404;0.960288;22.177792
144;310.851746;0.948160;23.742464
145;341.338043;0.950272;25.235456
146;316.681732;0.940640;22.371777
147;311.122650;0.932224;22.533312
148;314.258759;0.934368;24.695904
149;288.923584;0.928896;22.391808
150;289.423279;0.921536;22.841345
151;288.042664;0.918240;22.969343
152;288.661133;0.912864;25.307137
153;296.928497;0.907104;22.530272
154;291.986053;0.903584;22.046721
155;288.078461;0.899072;22.262815
156;289.747070;0.892928;23.548191
157;297.937775;0.893920;24.095743
158;288.123840;0.885408;22.007263
159;288.280792;0.881824;22.337536
160;288.424194;0.880512;23.527424
161;291.008331;1.020416;22.360577
162;287.243835;1.016224;22.546465
163;287.926636;1.003488;23.021568
164;287.950989;0.999424;23.602240
165;289.682129;0.998496;22.475777
166;288.630157;0.989120;23.187456
167;286.337982;0.988160;22.657024
168;288.672546;0.982112;22.778400
169;288.767548;0.982720;23.726080
170;288.276886;0.969728;22.855680
171;288.214050;0.964608;24.079359
172;289.236267;0.959776;22.380545
173;294.679596;0.958752;21.963776
