BLOCKSIZE;CPU_TIME;GPU_CALCULATION;GPU_TOTAL
1;6.126870;6.059136;10.646109
2;6.400825;3.130746;7.552374
3;6.404793;2.067222;6.542579
4;6.502145;1.542720;6.309815
5;6.213036;1.228304;5.753907
6;5.991094;1.042842;5.361968
7;5.887849;0.870342;5.125587
8;5.900928;0.774419;5.021178
9;5.920742;0.679379;4.937926
10;5.913194;0.610963;4.771075
11;5.942719;0.556682;4.809399
12;5.923236;0.511946;4.807552
13;5.945455;0.471635;4.688905
14;6.032163;0.438550;4.713294
15;5.964547;0.410179;4.644979
16;5.917945;0.384262;4.610611
17;5.946116;0.363194;4.615015
18;5.923026;0.360227;4.699603
19;5.995063;0.325363;4.651274
20;5.904055;0.308736;4.533056
21;5.911151;0.294646;4.470016
22;5.937397;0.283382;4.648080
23;5.946718;0.270992;4.677555
24;5.931685;0.259114;4.593126
25;5.921282;0.249926;4.535053
26;5.924018;0.240310;4.441738
27;5.905949;0.230845;4.405303
28;5.900267;0.224054;4.418739
29;5.967853;0.216886;4.525769
30;5.923266;0.225264;4.478662
31;5.924860;0.217040;4.434711
32;5.966020;0.195277;4.395696
33;5.949544;0.389270;4.663520
34;5.903183;0.364771;4.561635
35;5.885835;0.355251;4.579517
36;6.010756;0.345846;4.574547
37;5.920832;0.336342;4.572893
38;5.924319;0.326918;4.657510
39;5.947469;0.334115;4.626848
40;5.928558;0.308038;4.603402
41;5.931384;0.303293;4.557407
42;5.911180;0.293866;4.543881
43;5.930963;0.289152;4.538922
44;5.887940;0.301523;4.524032
45;5.901439;0.275027;4.579885
46;5.900958;0.270064;4.559933
47;5.900386;0.283200;4.546893
48;5.927957;0.260762;4.572839
49;5.950596;0.256186;4.534695
50;5.923627;0.251117;4.505427
51;5.909046;0.246749;4.473636
52;5.894614;0.241824;4.486957
53;5.910699;0.237056;4.465229
54;5.969988;0.232416;4.537344
55;5.938901;0.269824;4.553094
56;5.992507;0.223046;4.525667
57;5.919839;0.218870;4.391674
58;5.883159;0.218240;4.446707
59;5.884993;0.213606;4.494861
60;5.925462;0.208918;4.459565
61;5.945455;0.204086;4.432406
62;5.949092;0.204006;4.415914
63;5.899605;0.199411;4.408263
64;5.885023;0.194550;4.423478
65;5.914698;0.289168;4.648538
66;6.130657;0.282013;4.617885
67;5.969657;0.282080;4.520518
68;5.883971;0.274874;4.510781
69;5.971431;0.275053;4.474102
70;5.930603;0.268074;4.527107
71;5.908654;0.267866;4.487885
72;5.890796;0.260829;4.550576
73;5.906099;0.260816;4.507911
74;5.933849;0.253744;4.570429
75;5.956789;0.253706;4.485344
76;5.983217;0.246669;4.512275
77;5.941245;0.246627;4.470768
78;5.896899;0.239341;4.448509
79;5.875854;0.255789;4.499850
80;6.054141;0.232307;4.550550
81;5.908354;0.232554;4.480989
82;5.988959;0.232464;4.567818
83;5.916682;0.225334;4.570384
84;5.984479;0.248941;4.627572
85;5.946116;0.225613;4.606049
86;5.931114;0.218288;4.495482
87;5.908926;0.218429;4.406167
88;5.889533;0.218266;4.523789
89;5.902191;0.211261;4.444499
90;5.922786;0.211222;4.538503
91;5.929550;0.276816;4.606992
92;5.914367;0.204221;4.565322
93;5.989410;0.204326;4.439680
94;5.899004;0.204144;4.406851
95;5.901890;0.197114;4.373079
96;5.920711;0.196934;4.479331
97;5.939923;0.261043;4.581082
98;5.938179;0.260787;4.500595
99;5.976542;0.251258;4.471187
100;5.971492;0.251386;4.476976
101;6.046113;0.251450;4.541337
102;5.907933;0.251402;4.473485
103;5.889052;0.241994;4.494298
104;5.932376;0.241811;4.469933
105;5.899004;0.259366;4.480544
106;5.924951;0.242064;4.591926
107;5.916321;0.265402;4.602880
108;5.970319;0.232634;4.554989
109;5.962472;0.232573;4.472915
110;5.949604;0.232563;4.479680
111;5.934270;0.232406;4.448903
112;5.898794;0.222950;4.512486
113;5.916892;0.223181;4.520138
114;5.904777;0.223008;4.523859
115;5.914578;0.223200;4.472534
116;5.945846;0.223011;4.502784
117;5.981082;0.213725;4.441939
118;5.907513;0.213750;4.544093
119;5.965749;0.213507;4.474406
120;5.913435;0.213376;4.405280
121;5.921794;0.264554;4.521507
122;5.946928;0.203958;4.483258
123;5.898522;0.204125;4.421802
124;5.918877;0.203955;4.462432
125;5.914638;0.204093;4.454941
126;6.355546;0.204304;4.555671
127;5.954204;0.204083;4.547366
128;5.964066;0.194442;4.473827
129;5.941035;0.241798;4.532601
130;5.909617;0.241917;4.560550
131;6.045572;0.241958;4.494813
132;5.930723;0.242074;4.519511
133;5.950025;0.241997;4.479536
134;5.912022;0.242138;4.565789
135;5.903453;0.230230;4.497411
136;5.972545;0.230202;4.483526
137;5.920381;0.230218;4.466970
138;5.972604;0.230045;4.548893
139;5.915720;0.230163;4.621395
140;5.940584;0.230109;4.504250
141;5.918275;0.230394;4.495888
142;5.929309;0.230182;4.444019
143;5.942719;0.218266;4.514777
144;5.919960;0.233878;4.484365
145;5.927957;0.218301;4.446102
146;5.953212;0.218179;4.510099
147;5.900658;0.218362;4.649959
148;5.933700;0.218246;4.576755
149;5.936736;0.251910;4.545133
150;5.970168;0.218419;4.536822
151;5.957271;0.206538;4.519632
152;5.920199;0.206618;4.424153
153;5.924169;0.206640;4.435296
154;5.898192;0.206413;4.490026
155;5.917103;0.206576;4.502173
156;5.926543;0.206429;4.426867
157;5.910880;0.206525;4.401619
158;5.901950;0.206515;4.449789
159;5.944794;0.222403;4.447824
160;5.901740;0.194746;4.743216
161;5.893352;0.232467;4.558458
162;5.910640;0.232490;4.455456
163;5.909768;0.232458;4.508531
164;5.933489;0.232707;4.497207
165;5.920020;0.232608;4.507796
166;5.952310;0.232592;4.438067
167;5.909286;0.232470;4.502835
168;5.895246;0.232336;4.450992
169;5.930633;0.232557;4.620963
170;5.956850;0.232704;4.689965
171;5.913375;0.258746;4.595063
172;5.923597;0.257917;4.555139
173;5.915781;0.218326;4.418739
174;5.952670;0.218349;4.480285
175;5.913615;0.218483;4.444099
176;5.908504;0.218173;4.483407
177;5.933369;0.218429;4.574471
178;5.919208;0.218294;4.415843
179;5.939803;0.218333;4.569898
180;5.925131;0.258154;4.541145
181;5.943892;0.218406;4.450445
182;5.981082;0.218310;4.451901
183;5.980451;0.204205;4.442260
184;5.902040;0.204090;4.501079
185;5.925160;0.204186;4.407453
186;5.920741;0.204272;4.665379
187;5.896689;0.203994;4.392873
188;5.904506;0.220851;4.477277
189;5.928438;0.204301;4.437722
190;5.942478;0.204131;4.442441
191;5.896959;0.203923;4.449110
192;5.930964;0.203770;4.488579
193;5.898613;0.237142;4.442163
194;5.931745;0.253667;4.537991
195;5.975731;0.237075;4.470077
196;5.930272;0.237373;4.575520
197;5.940434;0.220730;4.498925
198;5.908565;0.220483;4.440054
199;5.931565;0.235952;4.464167
200;5.891337;0.220458;4.517146
201;5.947019;0.220541;4.518455
202;5.964366;0.220490;4.492611
203;5.919629;0.220602;4.506243
204;5.997138;0.220573;4.579424
205;5.956248;0.220621;4.553200
206;5.943681;0.220842;4.446420
207;5.931355;0.220563;4.475171
208;5.911632;0.220570;4.469526
209;5.913496;0.246387;4.541721
210;5.924138;0.220848;4.558224
211;5.945545;0.220586;4.561143
212;6.648142;0.220909;4.572637
213;5.912533;0.220710;4.641811
214;5.920320;0.204000;4.427651
215;5.973084;0.244624;4.510524
216;5.990192;0.204099;4.430329
217;5.981503;0.204323;4.479190
218;5.909678;0.221488;4.465651
219;5.921192;0.204042;4.453568
220;5.906370;0.203990;4.460970
221;5.908895;0.204214;4.706445
222;5.990794;0.204365;4.528739
223;5.943290;0.220714;4.513027
224;5.914638;0.204042;4.475408
225;5.912443;0.232758;4.448307
226;5.912984;0.232506;4.444484
227;5.894614;0.232483;4.493354
228;5.895937;0.232627;4.646134
229;5.964997;0.232477;4.540074
230;5.910279;0.232451;4.620093
231;5.938209;0.232746;4.488713
232;5.921373;0.232662;4.522627
