BLOCKSIZE;CPU_TIME;GPU_CALCULATION;GPU_TOTAL
1;30.016987;18.735523;22.518631
2;29.328278;8.631014;12.554673
3;29.503826;5.760931;9.292543
4;29.023895;4.324851;7.834737
5;29.042475;3.572192;7.227248
6;28.987186;2.828105;6.232074
7;29.209339;2.571053;5.875905
8;29.074314;2.339152;5.869549
9;29.034689;1.949283;5.230847
10;29.066227;1.793632;5.178410
11;29.070801;1.669309;5.028890
12;29.054501;1.487168;4.934384
13;28.972000;1.343187;4.727693
14;29.083187;1.305011;4.609997
15;29.054499;1.249507;4.582544
16;28.978647;1.098454;4.426685
17;29.027563;0.964403;4.519408
18;29.011148;0.989709;4.293370
19;28.968067;0.955680;4.355456
20;28.976480;0.935824;4.230774
21;29.051014;0.833542;4.216508
22;29.102365;0.761229;4.294601
23;29.044247;0.744739;3.957254
24;29.050385;0.756518;4.221750
25;28.994944;0.673590;3.908908
26;29.172180;0.632685;4.229075
27;28.983700;0.689254;4.085616
28;29.024405;0.592541;4.161050
29;29.026180;0.568262;3.837322
30;29.231195;0.623030;3.927162
31;29.019924;0.560717;4.184755
32;29.063763;0.519613;3.978790
33;29.035862;1.066118;4.424419
34;29.019897;1.167507;4.487609
35;28.941904;1.098454;4.580064
36;28.986614;0.942109;4.423783
37;29.244516;0.899546;4.495776
38;29.115475;1.030368;4.489062
39;29.083813;1.007907;4.485712
40;29.057117;0.893901;4.236397
41;28.970379;0.966861;4.393840
42;29.017462;0.951328;4.495057
43;29.133331;0.847418;4.488093
44;29.066980;0.876544;4.298278
45;29.068363;0.737850;4.179767
46;29.240484;0.721766;4.383869
47;29.053120;0.800938;4.179997
48;29.014965;0.710006;4.213312
49;29.031561;0.691869;4.007299
50;29.063848;0.657078;4.202154
51;29.108770;0.675590;4.061046
52;28.998129;0.693645;4.089187
53;29.212317;0.648518;4.143702
54;28.969538;0.624618;4.024650
55;28.954865;0.626253;3.995597
56;29.009884;0.706429;4.140288
57;29.159729;0.673488;4.135830
58;29.057779;0.594803;4.265526
59;29.066080;0.619520;4.121133
60;29.127829;0.652781;4.266128
61;29.054050;0.636390;4.082669
62;29.098215;0.604522;4.270320
63;29.223200;0.620045;4.238576
64;29.110422;0.564093;3.967674
65;29.145269;0.886755;4.394864
66;29.038746;0.786746;4.152025
67;29.002880;0.864019;4.246890
68;29.420309;0.818752;4.084493
69;29.072662;0.895933;4.523129
70;29.068661;0.773136;4.240807
71;29.737375;0.844710;4.222083
72;29.004742;0.885939;4.509767
73;28.975399;0.847370;4.243616
74;29.085892;0.711792;4.441718
75;29.110844;0.963888;4.793133
76;29.152786;0.821312;4.424941
77;29.195807;0.816243;4.463312
78;29.080536;0.756627;4.727562
79;29.064541;0.760675;4.298669
80;29.070770;0.636653;4.285510
81;29.011627;0.658870;4.142278
82;29.144669;0.656691;4.111635
83;29.077831;0.766262;4.564621
84;29.165863;0.754528;4.740096
85;29.038239;0.611469;4.169431
86;29.155518;0.669194;4.969725
87;29.077139;0.680090;4.515379
88;29.060303;0.680880;4.288973
89;29.194427;0.660426;4.399456
90;29.085291;0.629062;4.439552
91;29.047466;0.691488;4.077744
92;29.151943;0.637722;4.217059
93;29.012440;0.581664;4.518611
94;29.079967;0.640829;4.011162
95;29.026028;0.579891;3.877584
