BLOCKSIZE;CPU_TIME;GPU_CALCULATION;GPU_TOTAL
1;56.858643;51.492882;87.974205
2;56.543446;25.196178;61.118126
3;56.255352;16.694958;53.267628
4;56.305920;12.503911;48.804268
5;56.386559;10.002983;45.567120
6;56.198708;8.384787;44.198692
7;56.672962;7.254458;43.845108
8;58.137024;6.304090;42.759144
9;56.353008;5.638022;42.055531
10;56.114166;5.004710;40.749233
11;56.722748;4.552249;41.556282
12;56.401588;4.171699;40.141510
13;56.542122;3.903488;39.948292
14;56.237312;3.581017;39.266102
15;56.195107;3.338298;39.119312
16;56.747765;3.158400;39.189049
17;56.289330;2.951437;39.221756
18;56.122765;2.849952;39.115242
19;56.229015;2.636467;39.782116
20;56.523357;2.505120;37.801178
21;56.363708;2.387110;38.722881
22;57.731026;2.363994;41.438713
23;57.033928;2.183911;39.281689
24;56.325645;2.092000;37.765392
25;56.201294;2.006816;38.051025
26;56.177483;1.927910;38.402832
27;56.232746;1.862426;37.650372
28;56.272369;1.796800;38.957588
29;56.155659;1.755686;38.757446
30;56.460094;1.672102;37.945610
31;56.654320;1.619731;38.590332
32;56.605431;1.573658;37.108665
33;57.376190;3.252755;39.593895
34;57.120155;3.439827;39.121159
35;56.754498;3.367091;39.701511
36;56.619080;3.211770;39.472321
37;56.038818;3.122285;40.200050
38;56.174660;3.306330;40.745518
39;57.515270;2.970381;39.956837
40;58.759560;2.932480;42.659920
41;56.394794;2.851360;39.736336
42;56.641518;2.758579;38.561440
43;56.550713;2.699667;38.522881
44;55.813637;2.638541;39.762478
45;56.427570;2.956653;40.142143
46;55.977852;2.518515;40.028679
47;56.228233;2.473440;40.042492
48;56.000343;2.595930;39.112022
49;56.952507;2.367629;41.144428
50;56.686249;2.321811;38.483162
51;60.776642;2.489491;40.572662
52;56.631592;2.414106;41.081123
53;56.513611;2.186381;38.875996
54;56.230999;2.155110;38.505329
55;56.432259;2.109811;38.714729
56;55.940990;2.079571;38.355625
57;57.544197;2.035206;38.548782
58;56.137493;2.004083;38.277504
59;56.233166;1.974726;37.570202
60;56.902363;1.928723;38.293938
61;56.368217;1.899021;37.878712
62;56.265816;1.868403;38.285133
63;56.149822;1.838586;37.953312
64;56.370018;1.822362;37.946941
65;56.306526;2.684749;39.212341
66;59.353107;2.669907;38.932457
67;56.449577;2.592928;38.304516
68;56.516682;2.569856;38.274010
69;56.270210;2.525306;38.671001
70;56.598278;2.480723;38.406868
71;56.476398;2.488659;38.233086
72;56.186745;2.411898;38.035141
73;59.854958;2.687590;41.910168
74;57.532349;2.682733;40.622360
75;58.062401;2.322310;40.252495
76;56.679150;2.441427;39.074963
77;56.244892;2.253786;38.310951
78;56.308876;2.231238;37.923561
79;56.354511;2.208762;38.022343
80;60.386028;2.365658;41.501850
81;56.488781;2.235187;39.922661
82;57.112038;2.117997;38.001293
83;56.340137;2.095181;38.294586
84;56.563164;2.072326;38.661804
85;56.468639;2.050086;38.162041
86;56.376873;2.027162;38.032101
87;56.602184;2.045351;38.398258
88;56.223183;2.013382;38.890648
89;56.439716;1.959488;37.364357
90;57.077339;1.936269;38.100010
91;56.173512;1.913677;38.049747
92;56.956898;1.890560;38.700573
93;56.355591;1.901382;38.417538
94;56.181389;1.869069;37.952862
95;56.646984;1.918227;40.173576
96;56.620106;1.941158;38.256748
97;56.302917;2.428947;38.842640
98;56.494740;2.367424;38.354389
99;56.159142;2.336282;37.976875
100;56.639893;2.336595;38.107841
101;56.949860;2.306643;39.222473
102;56.263893;2.276045;38.026085
103;56.128059;2.245657;38.257206
104;56.102081;2.245632;38.507488
105;56.334248;2.215655;38.439125
106;56.258720;2.185255;38.894634
107;56.179707;2.185453;37.876667
108;56.346092;2.256762;37.885124
109;55.862579;2.124403;37.883827
110;57.680573;2.124659;39.034431
111;56.079651;2.094682;38.045044
112;56.402374;2.094393;38.099438
113;56.324623;2.064947;38.781029
114;56.471161;2.034234;37.727989
115;56.295158;2.034240;37.961365
116;56.811684;2.003866;37.803871
117;56.271229;2.003898;38.069176
118;56.613914;1.973549;38.491741
119;56.851727;1.973766;38.006855
120;56.314037;1.974758;39.004448
121;56.129139;1.913773;37.957863
122;56.749565;1.913203;37.975121
123;56.155903;1.882886;37.851585
124;56.417591;1.914758;37.698921
125;56.134491;1.884960;37.928642
126;56.451679;1.852659;37.763657
127;56.248920;1.822451;38.180168
128;57.166210;1.821498;38.591194
129;56.015972;2.275360;38.670692
130;56.544823;2.340474;38.157799
131;56.163353;2.237485;38.981396
132;56.356071;2.198739;38.512531
133;56.668388;2.199616;38.726585
134;56.046997;2.162483;37.757439
135;56.844688;2.161690;38.466133
136;56.328056;2.161363;38.489704
137;56.326965;2.124269;37.807983
138;56.351746;2.124320;38.948235
139;56.568993;2.086483;38.569977
140;56.282471;2.200410;38.228985
141;56.616982;2.086842;37.935116
142;56.508923;2.080979;38.318596
143;56.380188;2.049421;38.251629
144;56.367737;2.010765;37.677570
145;56.375134;2.042438;39.210155
146;57.019257;2.010970;37.833076
147;56.855579;1.973690;38.586468
148;56.358116;2.085018;37.586246
149;57.257915;2.004640;37.543068
150;56.683784;2.002605;38.630829
151;56.548969;1.935744;38.547638
152;56.124748;1.935347;37.539845
153;56.982933;1.898170;38.892769
154;56.318611;1.897626;37.448360
155;56.564850;1.898131;38.492104
156;58.222893;2.489594;46.028770
157;58.740257;2.142426;39.690704
158;56.151508;1.860512;37.931564
159;56.621605;1.822566;39.316223
160;56.179951;1.821523;38.324093
161;56.167084;2.185709;38.234230
162;56.545185;2.216582;38.347694
163;56.234608;2.210054;37.967800
164;56.614758;2.139584;37.809589
165;55.965942;2.140659;37.916222
166;56.067268;2.094221;38.350464
167;57.982368;2.156710;38.558228
168;56.151928;2.093869;37.725487
169;56.674999;2.094061;38.807846
170;56.522930;2.049325;38.724762
171;56.528709;2.049312;38.395763
172;56.113323;2.049331;37.790306
173;56.362804;2.049261;38.221134
174;56.198414;2.037094;38.222919
175;56.324745;2.004160;37.675171
176;56.207253;2.003597;38.249592
177;56.457813;2.036832;38.600044
178;56.293659;1.958342;37.972542
179;56.191307;1.958381;38.450737
180;57.204578;1.958624;37.928619
181;56.096729;1.958112;38.155647
182;56.420593;1.913024;38.087746
183;56.224682;1.912742;37.944340
184;56.088367;1.951296;37.710846
185;57.592659;1.912589;38.910976
186;56.602730;1.867654;40.037170
187;56.331055;1.867584;39.905388
188;57.001152;1.867277;37.911137
